,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-600051,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmce,-3.275,0.014,5.571,TRUE,2700.917,144,TRUE,,1.773,orthorhombic
mp-1470,Nb12O29,"{'Nb': 12.0, 'O': 29.0}",Cmcm,-3.054,0.014,0,FALSE,1205.723,82,FALSE,,4.349,orthorhombic
mp-27151,V7O13,"{'V': 7.0, 'O': 13.0}",P1,-2.489,0.015,0.505,TRUE,426.21,40,FALSE,,4.399,triclinic
mp-27819,Ag3O,"{'Ag': 3.0, 'O': 1.0}",P31m,-0.236,0.015,0,TRUE,127.824,8,TRUE,,8.823,trigonal
mp-562065,PO2,"{'P': 1.0, 'O': 2.0}",C2/c,-2.283,0.015,4.568,TRUE,378.267,24,FALSE,,2.212,monoclinic
mp-565700,Ti8O15,"{'Ti': 8.0, 'O': 15.0}",P1,-3.467,0.015,0,FALSE,994.266,92,FALSE,,4.161,triclinic
mp-17279,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.274,0.015,5.715,TRUE,977.753,48,FALSE,,1.633,monoclinic
mp-556262,SiO2,"{'Si': 1.0, 'O': 2.0}",P1,-3.274,0.015,5.72,TRUE,965.031,48,FALSE,,1.654,triclinic
mp-561090,SiO2,"{'Si': 1.0, 'O': 2.0}",Fd3m,-3.274,0.015,5.551,TRUE,2004.677,102,FALSE,,1.692,cubic
mp-34688,TiO2,"{'Ti': 1.0, 'O': 2.0}",C2/c,-3.509,0.015,1.998,FALSE,69.812,6,TRUE,,3.799,monoclinic
mp-510554,Nb12O29,"{'Nb': 12.0, 'O': 29.0}",C2/m,-3.053,0.015,0.081,FALSE,602.394,41,FALSE,,4.352,monoclinic
mp-556754,Ti3O5,"{'Ti': 3.0, 'O': 5.0}",C2/c,-3.388,0.015,0,TRUE,173.605,16,FALSE,,4.277,monoclinic
mp-556591,SiO2,"{'Si': 1.0, 'O': 2.0}",Fmmm,-3.274,0.015,5.768,FALSE,1097.95,54,FALSE,,1.636,orthorhombic
mp-561181,SiO2,"{'Si': 1.0, 'O': 2.0}",Amm2,-3.274,0.015,5.613,TRUE,1851.069,84,FALSE,,1.509,orthorhombic
mp-562490,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/c,-3.274,0.015,5.605,FALSE,211.722,12,TRUE,,1.885,monoclinic
mp-1179447,SiO2,"{'Si': 1.0, 'O': 2.0}",I41/amd,-3.274,0.015,5.622,FALSE,922.401,48,TRUE,,1.731,tetragonal
mp-667383,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.274,0.015,5.514,TRUE,1609.363,84,TRUE,,1.736,monoclinic
mp-972808,SiO2,"{'Si': 1.0, 'O': 2.0}",P21,-3.274,0.015,5.589,TRUE,173.485,12,TRUE,,2.3,monoclinic
mp-639478,SiO2,"{'Si': 1.0, 'O': 2.0}",Pm3m,-3.274,0.015,5.549,TRUE,1734.4,72,TRUE,,1.381,cubic
mp-600005,SiO2,"{'Si': 1.0, 'O': 2.0}",Im3m,-3.274,0.016,5.44,TRUE,992.536,48,TRUE,,1.608,cubic
mp-600045,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmce,-3.274,0.016,5.424,TRUE,1850.445,96,TRUE,,1.725,orthorhombic
mp-32895,SiO2,"{'Si': 1.0, 'O': 2.0}",Fd3m,-3.274,0.016,5.787,TRUE,3694.263,144,FALSE,,1.296,cubic
mp-644923,SiO2,"{'Si': 1.0, 'O': 2.0}",I4m2,-3.274,0.016,5.693,FALSE,2752.056,144,FALSE,,1.74,tetragonal
mp-557894,SiO2,"{'Si': 1.0, 'O': 2.0}",P21/m,-3.274,0.016,5.718,TRUE,1940.842,96,FALSE,,1.645,monoclinic
mp-639695,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmma,-3.273,0.016,5.606,FALSE,954.1,48,TRUE,,1.673,orthorhombic
mp-20725,PbO2,"{'Pb': 1.0, 'O': 2.0}",P42/mnm,-1.302,0.016,0.02,TRUE,87.307,6,FALSE,,9.099,tetragonal
mp-600061,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmma,-3.273,0.016,5.612,TRUE,1392.904,72,TRUE,,1.719,orthorhombic
mp-1204057,SiO2,"{'Si': 1.0, 'O': 2.0}",P6/mmm,-3.273,0.016,5.652,FALSE,4596.025,216,FALSE,,1.563,hexagonal
mp-754403,ZrO2,"{'Zr': 1.0, 'O': 2.0}",I41/amd,-3.822,0.016,3.725,TRUE,89.02,6,TRUE,,4.597,tetragonal
mp-554267,SiO2,"{'Si': 1.0, 'O': 2.0}",I41/amd,-3.273,0.016,5.618,TRUE,851.401,48,FALSE,,1.875,tetragonal
mp-600111,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmcm,-3.273,0.016,5.517,TRUE,3958.06,192,TRUE,,1.613,orthorhombic
mp-1249090,SiO2,"{'Si': 1.0, 'O': 2.0}",P63/m,-3.273,0.016,5.782,FALSE,2397.164,102,TRUE,,1.415,hexagonal
mp-653763,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmme,-3.273,0.016,5.517,FALSE,3333.187,168,FALSE,,1.676,orthorhombic
mp-615993,SiO2,"{'Si': 1.0, 'O': 2.0}",C2/m,-3.273,0.016,5.47,TRUE,770.966,42,FALSE,,1.812,monoclinic
mp-600022,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmmn,-3.273,0.016,5.866,FALSE,2167.868,96,TRUE,,1.473,orthorhombic
mp-27273,Ti9O17,"{'Ti': 9.0, 'O': 17.0}",P1,-3.47,0.016,0,TRUE,562.072,52,FALSE,,4.153,triclinic
mp-716052,Fe3O4,"{'Fe': 3.0, 'O': 4.0}",Pmna,-1.828,0.016,0,FALSE,312.638,28,TRUE,,4.919,orthorhombic
mp-600053,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmmn,-3.273,0.017,5.522,TRUE,1690.724,84,TRUE,,1.652,orthorhombic
mp-32715,B36O5,"{'B': 36.0, 'O': 5.0}",P1,-0.675,0.017,2.335,TRUE,609.578,82,TRUE,,2.556,triclinic
mp-1101405,Rb2O,"{'Rb': 2.0, 'O': 1.0}",Pnnm,-1.104,0.017,0.353,FALSE,186.937,6,TRUE,,3.321,orthorhombic
